identifiant,timestamp,timestamp_string,nombre_impressions,prix_impression,prix_total
1,1594008000.0,07-06-2020 06:00:00,11,1,11
2,1594008003.0,07-06-2020 06:00:03,2,1,2
3,1594008004.0,07-06-2020 06:00:04,5,1,5
4,1594008005.0,07-06-2020 06:00:05,1,1,1
5,1594008006.0,07-06-2020 06:00:06,6,1,6
6,1594008007.0,07-06-2020 06:00:07,3,1,3
7,1594008007.0,07-06-2020 06:00:07,6,1,6
8,1594008008.0,07-06-2020 06:00:08,2,1,2
9,1594008009.0,07-06-2020 06:00:09,13,1,13
10,1594008009.0,07-06-2020 06:00:09,0,1,0
11,1594008009.0,07-06-2020 06:00:09,1,1,1
12,1594008009.0,07-06-2020 06:00:09,5,1,5
13,1594009064.0,07-06-2020 06:17:44,1,1,1
14,1594009066.0,07-06-2020 06:17:46,4,1,4
15,1594009070.0,07-06-2020 06:17:50,5,1,5
16,1594009074.0,07-06-2020 06:17:54,4,1,4
17,1594009076.0,07-06-2020 06:17:56,1,1,1
18,1594009077.0,07-06-2020 06:17:57,5,1,5
19,1594009080.0,07-06-2020 06:18:00,4,1,4
20,1594009081.0,07-06-2020 06:18:01,11,1,11
21,1594009085.0,07-06-2020 06:18:05,3,1,3
22,1594009094.0,07-06-2020 06:18:14,8,1,8
23,1594009095.0,07-06-2020 06:18:15,3,1,3
24,1594009099.0,07-06-2020 06:18:19,4,1,4
25,1594009101.0,07-06-2020 06:18:21,1,1,1
26,1594009105.0,07-06-2020 06:18:25,5,1,5
27,1594009110.0,07-06-2020 06:18:30,9,1,9
28,1594009114.0,07-06-2020 06:18:34,4,1,4
29,1594009117.0,07-06-2020 06:18:37,11,1,11
30,1594009118.0,07-06-2020 06:18:38,2,1,2
31,1594009118.0,07-06-2020 06:18:38,3,1,3
32,1594009120.0,07-06-2020 06:18:40,5,1,5
33,1594009124.0,07-06-2020 06:18:44,1,1,1
34,1594009127.0,07-06-2020 06:18:47,1,1,1
35,1594009129.0,07-06-2020 06:18:49,7,1,7
36,1594009132.0,07-06-2020 06:18:52,0,1,0
37,1594009138.0,07-06-2020 06:18:58,4,1,4
38,1594009141.0,07-06-2020 06:19:01,5,1,5
39,1594009145.0,07-06-2020 06:19:05,5,1,5
40,1594009148.0,07-06-2020 06:19:08,10,1,10
41,1594009149.0,07-06-2020 06:19:09,3,1,3
42,1594009152.0,07-06-2020 06:19:12,0,1,0
43,1594009156.0,07-06-2020 06:19:16,4,1,4
44,1594009159.0,07-06-2020 06:19:19,1,1,1
45,1594009161.0,07-06-2020 06:19:21,5,1,5
46,1594009165.0,07-06-2020 06:19:25,3,1,3
47,1594009167.0,07-06-2020 06:19:27,5,1,5
48,1594009169.0,07-06-2020 06:19:29,2,1,2
49,1594009173.0,07-06-2020 06:19:33,6,1,6
