identifiant,timestamp,timestamp_string,nombre_impressions,prix_impression,prix_total,win,secondes_notif
1,1594180800.0,07-08-2020 06:00:00,10,1,10,True,365
2,1594180800.0,07-08-2020 06:00:00,1,1,1,True,361
3,1594180801.0,07-08-2020 06:00:01,5,1,5,True,555
4,1594180801.0,07-08-2020 06:00:01,1,1,1,True,645
5,1594180803.0,07-08-2020 06:00:03,1,1,1,True,310
6,1594180803.0,07-08-2020 06:00:03,2,1,2,True,355
7,1594180807.0,07-08-2020 06:00:07,8,1,8,True,775
8,1594180810.0,07-08-2020 06:00:10,3,1,3,False,653
9,1594180811.0,07-08-2020 06:00:11,5,1,5,True,458
10,1594180811.0,07-08-2020 06:00:11,6,1,6,True,432
11,1594180812.0,07-08-2020 06:00:12,5,1,5,True,755
12,1594180813.0,07-08-2020 06:00:13,1,1,1,True,699
13,1594180814.0,07-08-2020 06:00:14,9,1,9,True,2
14,1594180815.0,07-08-2020 06:00:15,6,1,6,True,582
15,1594180816.0,07-08-2020 06:00:16,5,1,5,True,52
16,1594180818.0,07-08-2020 06:00:18,3,1,3,True,171
17,1594180821.0,07-08-2020 06:00:21,5,1,5,True,447
18,1594180821.0,07-08-2020 06:00:21,3,1,3,True,815
19,1594180821.0,07-08-2020 06:00:21,4,1,4,True,636
20,1594180823.0,07-08-2020 06:00:23,2,1,2,True,296
21,1594180825.0,07-08-2020 06:00:25,0,1,0,True,239
22,1594180827.0,07-08-2020 06:00:27,3,1,3,True,797
23,1594180827.0,07-08-2020 06:00:27,1,1,1,True,132
24,1594180828.0,07-08-2020 06:00:28,1,1,1,True,831
25,1594180829.0,07-08-2020 06:00:29,0,1,0,True,683
26,1594180829.0,07-08-2020 06:00:29,0,1,0,True,841
27,1594180834.0,07-08-2020 06:00:34,5,1,5,True,377
28,1594180835.0,07-08-2020 06:00:35,3,1,3,True,886
29,1594180835.0,07-08-2020 06:00:35,2,1,2,True,655
30,1594180836.0,07-08-2020 06:00:36,2,1,2,True,799
31,1594180837.0,07-08-2020 06:00:37,1,1,1,True,348
32,1594180838.0,07-08-2020 06:00:38,3,1,3,True,448
33,1594180840.0,07-08-2020 06:00:40,1,1,1,True,175
34,1594180841.0,07-08-2020 06:00:41,7,1,7,True,169
35,1594180843.0,07-08-2020 06:00:43,3,1,3,True,235
36,1594180843.0,07-08-2020 06:00:43,3,1,3,True,510
37,1594180843.0,07-08-2020 06:00:43,1,1,1,True,50
38,1594180843.0,07-08-2020 06:00:43,2,1,2,True,305
39,1594180845.0,07-08-2020 06:00:45,2,1,2,True,346
40,1594180848.0,07-08-2020 06:00:48,5,1,5,True,697
41,1594180850.0,07-08-2020 06:00:50,7,1,7,True,466
42,1594180850.0,07-08-2020 06:00:50,6,1,6,True,702
43,1594180852.0,07-08-2020 06:00:52,2,1,2,True,176
44,1594180853.0,07-08-2020 06:00:53,5,1,5,True,49
45,1594180853.0,07-08-2020 06:00:53,0,1,0,True,289
46,1594180854.0,07-08-2020 06:00:54,3,1,3,True,376
47,1594180855.0,07-08-2020 06:00:55,1,1,1,True,299
48,1594180856.0,07-08-2020 06:00:56,6,1,6,True,230
49,1594180856.0,07-08-2020 06:00:56,1,1,1,True,369
50,1594180856.0,07-08-2020 06:00:56,1,1,1,True,62
51,1594180857.0,07-08-2020 06:00:57,8,1,8,True,55
52,1594180858.0,07-08-2020 06:00:58,0,1,0,True,446
53,1594180860.0,07-08-2020 06:01:00,2,1,2,True,576
54,1594180861.0,07-08-2020 06:01:01,4,1,4,True,441
55,1594180863.0,07-08-2020 06:01:03,9,1,9,True,461
56,1594180865.0,07-08-2020 06:01:05,0,1,0,True,814
57,1594180866.0,07-08-2020 06:01:06,1,1,1,True,466
58,1594180868.0,07-08-2020 06:01:08,6,1,6,True,128
59,1594180869.0,07-08-2020 06:01:09,3,1,3,True,499
60,1594180870.0,07-08-2020 06:01:10,5,1,5,True,814
61,1594180870.0,07-08-2020 06:01:10,3,1,3,True,324
62,1594180870.0,07-08-2020 06:01:10,0,1,0,True,814
63,1594180873.0,07-08-2020 06:01:13,5,1,5,True,148
64,1594180875.0,07-08-2020 06:01:15,1,1,1,True,230
65,1594180875.0,07-08-2020 06:01:15,5,1,5,True,584
66,1594180877.0,07-08-2020 06:01:17,3,1,3,True,65
67,1594180878.0,07-08-2020 06:01:18,1,1,1,True,834
68,1594180880.0,07-08-2020 06:01:20,6,1,6,True,422
69,1594180880.0,07-08-2020 06:01:20,1,1,1,True,163
70,1594180882.0,07-08-2020 06:01:22,5,1,5,True,304
71,1594180883.0,07-08-2020 06:01:23,2,1,2,True,240
72,1594180884.0,07-08-2020 06:01:24,3,1,3,True,714
73,1594180885.0,07-08-2020 06:01:25,4,1,4,True,66
74,1594180885.0,07-08-2020 06:01:25,2,1,2,True,726
75,1594180886.0,07-08-2020 06:01:26,2,1,2,True,685
76,1594180887.0,07-08-2020 06:01:27,4,1,4,True,52
77,1594180887.0,07-08-2020 06:01:27,10,1,10,True,126
78,1594180888.0,07-08-2020 06:01:28,3,1,3,True,238
79,1594180888.0,07-08-2020 06:01:28,4,1,4,True,808
80,1594180889.0,07-08-2020 06:01:29,2,1,2,True,504
81,1594180891.0,07-08-2020 06:01:31,4,1,4,True,465
82,1594180892.0,07-08-2020 06:01:32,6,1,6,True,749
83,1594180896.0,07-08-2020 06:01:36,3,1,3,True,431
84,1594180897.0,07-08-2020 06:01:37,1,1,1,True,464
85,1594180898.0,07-08-2020 06:01:38,4,1,4,True,624
86,1594180900.0,07-08-2020 06:01:40,0,1,0,True,412
87,1594180900.0,07-08-2020 06:01:40,2,1,2,True,524
88,1594180902.0,07-08-2020 06:01:42,5,1,5,True,415
89,1594180903.0,07-08-2020 06:01:43,7,1,7,True,582
90,1594180905.0,07-08-2020 06:01:45,2,1,2,True,225
91,1594180906.0,07-08-2020 06:01:46,1,1,1,True,249
92,1594180908.0,07-08-2020 06:01:48,2,1,2,True,833
93,1594180911.0,07-08-2020 06:01:51,5,1,5,True,17
94,1594180913.0,07-08-2020 06:01:53,3,1,3,True,307
95,1594180915.0,07-08-2020 06:01:55,5,1,5,False,692
96,1594180915.0,07-08-2020 06:01:55,9,1,9,True,829
97,1594181846.0,07-08-2020 06:17:26,2,1,2,True,674
98,1594181850.0,07-08-2020 06:17:30,1,1,1,True,413
99,1594181854.0,07-08-2020 06:17:34,1,1,1,True,764
100,1594181854.0,07-08-2020 06:17:34,6,1,6,True,106
101,1594181859.0,07-08-2020 06:17:39,4,1,4,True,177
102,1594181860.0,07-08-2020 06:17:40,5,1,5,True,654
103,1594181863.0,07-08-2020 06:17:43,5,1,5,True,510
104,1594181863.0,07-08-2020 06:17:43,1,1,1,True,755
105,1594181868.0,07-08-2020 06:17:48,1,1,1,True,485
106,1594181870.0,07-08-2020 06:17:50,2,1,2,True,449
107,1594181874.0,07-08-2020 06:17:54,1,1,1,True,578
108,1594182912.0,07-08-2020 06:35:12,1,1,1,True,524
109,1594183878.0,07-08-2020 06:51:18,8,1,8,True,230
110,1594183887.0,07-08-2020 06:51:27,4,1,4,True,501
111,1594183890.0,07-08-2020 06:51:30,5,1,5,True,693
112,1594183893.0,07-08-2020 06:51:33,6,1,6,True,720
113,1594183901.0,07-08-2020 06:51:41,6,1,6,False,701
114,1594183909.0,07-08-2020 06:51:49,10,1,10,True,480
115,1594183915.0,07-08-2020 06:51:55,1,1,1,True,403
116,1594183922.0,07-08-2020 06:52:02,0,1,0,True,158
117,1594183928.0,07-08-2020 06:52:08,3,1,3,True,664
118,1594183931.0,07-08-2020 06:52:11,3,1,3,True,525
119,1594183935.0,07-08-2020 06:52:15,10,1,10,True,669
120,1594183942.0,07-08-2020 06:52:22,3,1,3,True,357
121,1594183949.0,07-08-2020 06:52:29,4,1,4,True,503
122,1594183954.0,07-08-2020 06:52:34,7,1,7,True,328
123,1594183969.0,07-08-2020 06:52:49,0,1,0,True,894
124,1594183978.0,07-08-2020 06:52:58,4,1,4,True,877
125,1594183988.0,07-08-2020 06:53:08,4,1,4,True,530
126,1594183994.0,07-08-2020 06:53:14,2,1,2,True,118
127,1594183999.0,07-08-2020 06:53:19,4,1,4,True,160
128,1594184005.0,07-08-2020 06:53:25,3,1,3,True,701
129,1594184012.0,07-08-2020 06:53:32,2,1,2,True,625
130,1594184019.0,07-08-2020 06:53:39,7,1,7,True,732
131,1594184027.0,07-08-2020 06:53:47,4,1,4,True,377
132,1594184037.0,07-08-2020 06:53:57,2,1,2,True,889
133,1594184042.0,07-08-2020 06:54:02,4,1,4,True,116
134,1594184049.0,07-08-2020 06:54:09,1,1,1,True,496
135,1594184054.0,07-08-2020 06:54:14,5,1,5,True,693
136,1594184063.0,07-08-2020 06:54:23,5,1,5,True,520
137,1594184073.0,07-08-2020 06:54:33,9,1,9,True,309
138,1594184085.0,07-08-2020 06:54:45,3,1,3,True,150
139,1594184091.0,07-08-2020 06:54:51,8,1,8,True,488
140,1594184095.0,07-08-2020 06:54:55,2,1,2,True,105
141,1594184102.0,07-08-2020 06:55:02,4,1,4,True,523
142,1594184107.0,07-08-2020 06:55:07,3,1,3,True,283
143,1594184114.0,07-08-2020 06:55:14,2,1,2,True,608
144,1594184122.0,07-08-2020 06:55:22,1,1,1,True,39
145,1594184126.0,07-08-2020 06:55:26,2,1,2,True,226
146,1594184136.0,07-08-2020 06:55:36,2,1,2,False,834
147,1594184143.0,07-08-2020 06:55:43,3,1,3,True,435
148,1594184152.0,07-08-2020 06:55:52,4,1,4,True,286
149,1594184161.0,07-08-2020 06:56:01,9,1,9,True,142
150,1594184171.0,07-08-2020 06:56:11,7,1,7,True,350
151,1594184179.0,07-08-2020 06:56:19,1,1,1,True,500
152,1594184191.0,07-08-2020 06:56:31,4,1,4,True,358
153,1594184199.0,07-08-2020 06:56:39,5,1,5,True,547
154,1594184205.0,07-08-2020 06:56:45,1,1,1,True,102
155,1594184212.0,07-08-2020 06:56:52,0,1,0,True,454
156,1594184219.0,07-08-2020 06:56:59,2,1,2,True,144
157,1594184224.0,07-08-2020 06:57:04,5,1,5,True,598
158,1594184236.0,07-08-2020 06:57:16,8,1,8,True,82
159,1594184241.0,07-08-2020 06:57:21,6,1,6,True,671
160,1594184249.0,07-08-2020 06:57:29,7,1,7,True,121
161,1594184260.0,07-08-2020 06:57:40,2,1,2,True,373
162,1594184267.0,07-08-2020 06:57:47,7,1,7,True,525
163,1594184278.0,07-08-2020 06:57:58,6,1,6,True,337
164,1594184294.0,07-08-2020 06:58:14,1,1,1,True,562
165,1594184302.0,07-08-2020 06:58:22,5,1,5,True,69
166,1594184315.0,07-08-2020 06:58:35,3,1,3,True,900
167,1594184325.0,07-08-2020 06:58:45,1,1,1,True,21
168,1594184346.0,07-08-2020 06:59:06,4,1,4,True,466
169,1594184358.0,07-08-2020 06:59:18,1,1,1,True,474
170,1594184363.0,07-08-2020 06:59:23,3,1,3,True,452
171,1594184372.0,07-08-2020 06:59:32,2,1,2,True,132
172,1594184384.0,07-08-2020 06:59:44,2,1,2,True,837
173,1594184395.0,07-08-2020 06:59:55,3,1,3,True,615
174,1594184404.0,07-08-2020 07:00:04,5,1,5,True,623
175,1594184408.0,07-08-2020 07:00:08,3,1,3,True,483
176,1594184413.0,07-08-2020 07:00:13,3,1,3,True,466
177,1594184420.0,07-08-2020 07:00:20,3,1,3,True,50
178,1594184426.0,07-08-2020 07:00:26,1,1,1,True,482
179,1594184432.0,07-08-2020 07:00:32,2,1,2,True,844
180,1594184437.0,07-08-2020 07:00:37,2,1,2,True,141
181,1594184448.0,07-08-2020 07:00:48,1,1,1,True,759
182,1594184458.0,07-08-2020 07:00:58,4,1,4,False,616
183,1594184464.0,07-08-2020 07:01:04,6,1,6,True,135
184,1594184473.0,07-08-2020 07:01:13,4,1,4,True,668
185,1594184483.0,07-08-2020 07:01:23,6,1,6,True,822
186,1594184495.0,07-08-2020 07:01:35,1,1,1,True,31
187,1594184505.0,07-08-2020 07:01:45,7,1,7,True,644
188,1594184510.0,07-08-2020 07:01:50,1,1,1,True,30
189,1594184515.0,07-08-2020 07:01:55,9,1,9,True,507
190,1594184523.0,07-08-2020 07:02:03,2,1,2,True,726
191,1594184529.0,07-08-2020 07:02:09,8,1,8,True,155
192,1594184534.0,07-08-2020 07:02:14,4,1,4,True,636
193,1594184541.0,07-08-2020 07:02:21,1,1,1,True,665
194,1594184549.0,07-08-2020 07:02:29,6,1,6,True,464
195,1594184556.0,07-08-2020 07:02:36,5,1,5,True,710
196,1594184568.0,07-08-2020 07:02:48,6,1,6,True,112
197,1594184574.0,07-08-2020 07:02:54,1,1,1,False,156
198,1594184582.0,07-08-2020 07:03:02,0,1,0,True,641
199,1594184589.0,07-08-2020 07:03:09,7,1,7,False,43
200,1594184593.0,07-08-2020 07:03:13,6,1,6,True,321
