identifiant,timestamp,timestamp_string,nombre_impressions,prix_impression,prix_total
1,1590638401,05-28-2020 06:00:01,7,1,7
2,1590638403,05-28-2020 06:00:03,5,1,5
3,1590638403,05-28-2020 06:00:03,4,1,4
4,1590638404,05-28-2020 06:00:04,5,1,5
5,1590638405,05-28-2020 06:00:05,1,1,1
6,1590638406,05-28-2020 06:00:06,4,1,4
7,1590638409,05-28-2020 06:00:09,3,1,3
8,1590638410,05-28-2020 06:00:10,1,1,1
9,1590638412,05-28-2020 06:00:12,7,1,7
10,1590638415,05-28-2020 06:00:15,1,1,1
11,1590638415,05-28-2020 06:00:15,7,1,7
12,1590638418,05-28-2020 06:00:18,5,1,5
13,1590638419,05-28-2020 06:00:19,2,1,2
14,1590638421,05-28-2020 06:00:21,3,1,3
15,1590638421,05-28-2020 06:00:21,1,1,1
16,1590638422,05-28-2020 06:00:22,4,1,4
17,1590638422,05-28-2020 06:00:22,4,1,4
18,1590638422,05-28-2020 06:00:22,3,1,3
19,1590638422,05-28-2020 06:00:22,10,1,10
20,1590638423,05-28-2020 06:00:23,1,1,1
21,1590638424,05-28-2020 06:00:24,3,1,3
22,1590638425,05-28-2020 06:00:25,6,1,6
23,1590638425,05-28-2020 06:00:25,2,1,2
24,1590638425,05-28-2020 06:00:25,2,1,2
25,1590638426,05-28-2020 06:00:26,3,1,3
26,1590638428,05-28-2020 06:00:28,1,1,1
27,1590638428,05-28-2020 06:00:28,2,1,2
28,1590638428,05-28-2020 06:00:28,6,1,6
29,1590638428,05-28-2020 06:00:28,4,1,4
30,1590638429,05-28-2020 06:00:29,2,1,2
31,1590638430,05-28-2020 06:00:30,2,1,2
32,1590638430,05-28-2020 06:00:30,6,1,6
33,1590638430,05-28-2020 06:00:30,6,1,6
34,1590638430,05-28-2020 06:00:30,5,1,5
35,1590638430,05-28-2020 06:00:30,3,1,3
36,1590638431,05-28-2020 06:00:31,0,1,0
37,1590638432,05-28-2020 06:00:32,7,1,7
38,1590638434,05-28-2020 06:00:34,4,1,4
39,1590638437,05-28-2020 06:00:37,2,1,2
40,1590638437,05-28-2020 06:00:37,4,1,4
41,1590638437,05-28-2020 06:00:37,0,1,0
42,1590638437,05-28-2020 06:00:37,9,1,9
43,1590638438,05-28-2020 06:00:38,1,1,1
44,1590638439,05-28-2020 06:00:39,1,1,1
45,1590638439,05-28-2020 06:00:39,3,1,3
46,1590638440,05-28-2020 06:00:40,3,1,3
47,1590638441,05-28-2020 06:00:41,4,1,4
48,1590638441,05-28-2020 06:00:41,5,1,5
49,1590638444,05-28-2020 06:00:44,4,1,4
50,1590638445,05-28-2020 06:00:45,2,1,2
51,1590638446,05-28-2020 06:00:46,3,1,3
52,1590638446,05-28-2020 06:00:46,5,1,5
53,1590638446,05-28-2020 06:00:46,3,1,3
54,1590638447,05-28-2020 06:00:47,0,1,0
