identifiant,timestamp,timestamp_string,nombre_impressions,prix_impression,prix_total,achat,budget_depense,bt,cible
1,1593144001,06-26-2020 06:00:01,1,1,1,1,1,0.06097560975609756,0.05952380952380952
2,1593144006,06-26-2020 06:00:06,2,1,2,1,3,0.06096147982518549,0.05952380952380952
3,1593144010,06-26-2020 06:00:10,3,1,3,1,6,0.06092577910593401,0.05952380952380952
4,1593144992,06-26-2020 06:16:32,2,1,2,1,8,0.062104586280570015,0.05952380952380952
5,1593144993,06-26-2020 06:16:33,6,1,6,1,14,0.062064387653501495,0.05952380952380952
6,1593144996,06-26-2020 06:16:36,4,1,4,1,18,0.061943781765377036,0.05952380952380952
7,1593145002,06-26-2020 06:16:42,3,1,3,1,21,0.061868503495923155,0.05952380952380952
8,1593145011,06-26-2020 06:16:51,4,1,4,1,25,0.061817804523760116,0.05952380952380952
9,1593145017,06-26-2020 06:16:57,5,1,5,1,30,0.06174248713265815,0.05952380952380952
10,1593145023,06-26-2020 06:17:03,7,1,7,1,37,0.061646394619951014,0.05952380952380952
11,1593145030,06-26-2020 06:17:10,3,1,3,1,40,0.061510037159286705,0.05952380952380952
12,1593145035,06-26-2020 06:17:15,2,1,2,1,42,0.061454137773533195,0.05952380952380952
13,1593145040,06-26-2020 06:17:20,2,1,2,1,44,0.06141899046946699,0.05952380952380952
14,1593145042,06-26-2020 06:17:22,6,1,6,1,50,0.06138001204343944,0.05952380952380952
15,1593145047,06-26-2020 06:17:27,3,1,3,1,53,0.06126178510611787,0.05952380952380952
16,1593145049,06-26-2020 06:17:29,6,1,6,1,59,0.0612020269147699,0.05952380952380952
17,1593145053,06-26-2020 06:17:33,1,1,1,1,60,0.06108249563844812,0.05952380952380952
18,1593145057,06-26-2020 06:17:37,0,1,0,1,60,0.06106679960119641,0.05952380952380952
19,1593145059,06-26-2020 06:17:39,3,1,3,1,63,0.06106933654605126,0.05952380952380952
20,1593145062,06-26-2020 06:17:42,5,1,5,1,68,0.06101082282556763,0.05952380952380952
21,1593145067,06-26-2020 06:17:47,5,1,5,1,73,0.06091328374953255,0.05952380952380952
22,1593145074,06-26-2020 06:17:54,5,1,5,1,78,0.06081825170901989,0.05952380952380952
23,1593145080,06-26-2020 06:18:00,3,1,3,1,81,0.060721930134452734,0.05952380952380952
24,1593145084,06-26-2020 06:18:04,1,1,1,1,82,0.060664629964461626,0.05952380952380952
25,1593145089,06-26-2020 06:18:09,5,1,5,1,87,0.060650149650814764,0.05952380952380952
26,1593145093,06-26-2020 06:18:13,2,1,2,1,89,0.06055125966575206,0.05952380952380952
27,1593145096,06-26-2020 06:18:16,6,1,6,1,95,0.06051346013927866,0.05952380952380952
28,1593145099,06-26-2020 06:18:19,1,1,1,1,96,0.060392499272379524,0.05952380952380952
29,1593145103,06-26-2020 06:18:23,6,1,6,1,102,0.06037673084119922,0.05952380952380952
30,1593145108,06-26-2020 06:18:28,6,1,6,1,108,0.06025824964131994,0.05952380952380952
31,1593145116,06-26-2020 06:18:36,4,1,4,1,112,0.06014349589269003,0.05952380952380952
32,1593145121,06-26-2020 06:18:41,2,1,2,1,114,0.06006655574043261,0.05952380952380952
33,1593145126,06-26-2020 06:18:46,0,1,0,1,114,0.06003120124804992,0.05952380952380952
34,1593145128,06-26-2020 06:18:48,4,1,4,1,118,0.06003369874981798,0.05952380952380952
35,1593145135,06-26-2020 06:18:55,10,1,10,1,128,0.059959222735405486,0.05952380952380952
36,1593145139,06-26-2020 06:18:59,4,1,4,1,132,0.05975614830843494,0.05952380952380952
37,1593145147,06-26-2020 06:19:07,3,1,3,1,135,0.05968285678611562,0.05952380952380952
38,1593145150,06-26-2020 06:19:10,2,1,2,1,137,0.059624149341324845,0.05952380952380952
39,1593145155,06-26-2020 06:19:15,0,1,0,1,137,0.059588727469508385,0.05952380952380952
40,1593145158,06-26-2020 06:19:18,4,1,4,1,141,0.05959244843161335,0.05952380952380952
41,1593145162,06-26-2020 06:19:22,6,1,6,0,141,0.059514144757384625,0.05952380952380952
42,1593145166,06-26-2020 06:19:26,5,1,5,0,141,0.05951910065577183,0.05952380952380952
43,1593145171,06-26-2020 06:19:31,1,1,1,1,142,0.05952529668956902,0.05952380952380952
44,1593145173,06-26-2020 06:19:33,4,1,4,0,142,0.05950695427667194,0.05952380952380952
45,1593145180,06-26-2020 06:19:40,4,1,4,0,142,0.05951562857916328,0.05952380952380952
46,1593145184,06-26-2020 06:19:44,3,1,3,0,142,0.05952058645896245,0.05952380952380952
47,1593145189,06-26-2020 06:19:49,8,1,8,1,150,0.05952678497042406,0.05952380952380952
48,1593145195,06-26-2020 06:19:55,2,1,2,0,150,0.05936757905261842,0.05952380952380952
49,1593145200,06-26-2020 06:20:00,10,1,10,0,150,0.0593737630466032,0.05952380952380952
50,1593145203,06-26-2020 06:20:03,4,1,4,0,150,0.05937747406141922,0.05952380952380952
51,1593145207,06-26-2020 06:20:07,5,1,5,0,150,0.05938242280285035,0.05952380952380952
52,1593145210,06-26-2020 06:20:10,7,1,7,0,150,0.059386134900293805,0.05952380952380952
53,1593145212,06-26-2020 06:20:12,1,1,1,0,150,0.0593886098897664,0.05952380952380952
54,1593145215,06-26-2020 06:20:15,3,1,3,0,150,0.059392322760805236,0.05952380952380952
55,1593145222,06-26-2020 06:20:22,4,1,4,0,150,0.059400987932220345,0.05952380952380952
56,1593145224,06-26-2020 06:20:24,8,1,8,0,150,0.059403464159909956,0.05952380952380952
57,1593145229,06-26-2020 06:20:29,0,1,0,0,150,0.05940965563245226,0.05952380952380952
58,1593145231,06-26-2020 06:20:31,2,1,2,0,150,0.05941213258286429,0.05952380952380952
59,1593145235,06-26-2020 06:20:35,4,1,4,0,150,0.059417087103364886,0.05952380952380952
60,1593145238,06-26-2020 06:20:38,9,1,9,0,150,0.059420803536059046,0.05952380952380952
61,1593145242,06-26-2020 06:20:42,9,1,9,0,150,0.05942575950290874,0.05952380952380952
62,1593145248,06-26-2020 06:20:48,1,1,1,0,150,0.05943319500344087,0.05952380952380952
63,1593145254,06-26-2020 06:20:54,4,1,4,0,150,0.059440632364902914,0.05952380952380952
64,1593145258,06-26-2020 06:20:58,5,1,5,0,150,0.059445591640072584,0.05952380952380952
65,1593145263,06-26-2020 06:21:03,5,1,5,0,150,0.05945179189786808,0.05952380952380952
66,1593145265,06-26-2020 06:21:05,6,1,6,0,150,0.059454272363150866,0.05952380952380952
67,1593145272,06-26-2020 06:21:12,5,1,5,0,150,0.05946295562185733,0.05952380952380952
68,1593145273,06-26-2020 06:21:13,4,1,4,0,150,0.05946419629444166,0.05952380952380952
69,1593145278,06-26-2020 06:21:18,1,1,1,0,150,0.05947040043402959,0.05952380952380952
70,1593145279,06-26-2020 06:21:19,3,1,3,0,150,0.059471641417303114,0.05952380952380952
71,1593145289,06-26-2020 06:21:29,6,1,6,0,150,0.05948405409918183,0.05952380952380952
72,1593145292,06-26-2020 06:21:32,1,1,1,0,150,0.05948777891419149,0.05952380952380952
73,1593145296,06-26-2020 06:21:36,5,1,5,0,150,0.059492746059910236,0.05952380952380952
74,1593145299,06-26-2020 06:21:39,3,1,3,0,150,0.05949647196359233,0.05952380952380952
75,1593145304,06-26-2020 06:21:44,9,1,9,0,150,0.059502682840261396,0.05952380952380952
76,1593145307,06-26-2020 06:21:47,5,1,5,0,150,0.0595064099887251,0.05952380952380952
77,1593145309,06-26-2020 06:21:49,3,1,3,0,150,0.05950889501378101,0.05952380952380952
78,1593145310,06-26-2020 06:21:50,2,1,2,0,150,0.05951013760414274,0.05952380952380952
79,1593146248,06-26-2020 06:37:28,5,1,5,1,155,0.06069899686920963,0.05952380952380952
80,1593146254,06-26-2020 06:37:34,5,1,5,1,160,0.060600251347263934,0.05952380952380952
81,1593146256,06-26-2020 06:37:36,4,1,4,1,164,0.06049632548727234,0.05952380952380952
82,1593146262,06-26-2020 06:37:42,7,1,7,1,171,0.06041884147510599,0.05952380952380952
83,1593146265,06-26-2020 06:37:45,2,1,2,1,173,0.06027356400204534,0.05952380952380952
84,1593146270,06-26-2020 06:37:50,10,1,10,1,183,0.060237369755598645,0.05952380952380952
85,1593146276,06-26-2020 06:37:56,4,1,4,1,187,0.06003196590303676,0.05952380952380952
86,1593146278,06-26-2020 06:37:58,3,1,3,1,190,0.059949278605374766,0.05952380952380952
87,1593146282,06-26-2020 06:38:02,0,1,0,1,190,0.059890449498071145,0.05952380952380952
88,1593146283,06-26-2020 06:38:03,3,1,3,1,193,0.05989172599002515,0.05952380952380952
89,1593146285,06-26-2020 06:38:05,1,1,1,1,194,0.05983033506692813,0.05952380952380952
90,1593146287,06-26-2020 06:38:07,6,1,6,1,200,0.0598115701070043,0.05952380952380952
91,1593146289,06-26-2020 06:38:09,5,1,5,1,205,0.059686221009549796,0.05952380952380952
92,1593146296,06-26-2020 06:38:16,5,1,5,1,210,0.05958853000746189,0.05952380952380952
93,1593146298,06-26-2020 06:38:18,3,1,3,0,210,0.059484467944481166,0.05952380952380952
94,1593146303,06-26-2020 06:38:23,3,1,3,0,210,0.059490809842637216,0.05952380952380952
95,1593146307,06-26-2020 06:38:27,1,1,1,0,210,0.059495884334882926,0.05952380952380952
96,1593146309,06-26-2020 06:38:29,5,1,5,0,210,0.059498421905655546,0.05952380952380952
97,1593146318,06-26-2020 06:38:38,3,1,3,0,210,0.059509843653349825,0.05952380952380952
98,1593146321,06-26-2020 06:38:41,1,1,1,0,210,0.0595136518771331,0.05952380952380952
99,1593146325,06-26-2020 06:38:45,9,1,9,0,210,0.059518730267087636,0.05952380952380952
100,1593146331,06-26-2020 06:38:51,2,1,2,1,212,0.05952634947727758,0.05952380952380952
101,1593146335,06-26-2020 06:38:55,5,1,5,0,212,0.05948875517432681,0.05952380952380952
102,1593146341,06-26-2020 06:39:01,0,1,0,0,212,0.05949637217242851,0.05952380952380952
103,1593146350,06-26-2020 06:39:10,0,1,0,0,212,0.059507801327613075,0.05952380952380952
104,1593146354,06-26-2020 06:39:14,4,1,4,0,212,0.05951288236173074,0.05952380952380952
105,1593146359,06-26-2020 06:39:19,8,1,8,0,212,0.05951923487468511,0.05952380952380952
106,1593146365,06-26-2020 06:39:25,4,1,4,1,216,0.05952685968058758,0.05952380952380952
107,1593146369,06-26-2020 06:39:29,3,1,3,0,216,0.05944653228561667,0.05952380952380952
